date,total_pnl,median_pnl,trade_count,win_rate,total_volume,avg_trade_size,long_ratio,fg_value,classification,is_profitable,weekend,cumulative_pnl,sentiment_group,fg_yest,pnl_yest,vol_yest,target,intensity_q,sharpe_proxy
2024-02-25,-30.7705,0.0,5,0.0,4480.13,896.0260000000001,0.4,74.0,Greed,False,True,21169.64152200001,Greed,76.0,1418.55293,111106.14,1.0,Mid-High,-0.018200015509369713
2024-02-26,4416.8473,31.028709,39,0.8717948717948718,192187.14,4927.875384615385,0.6923076923076923,72.0,Greed,True,False,25586.48882200001,Greed,74.0,-30.7705,4480.13,1.0,Mid-High,2.6157805260321614
2024-02-27,888.511733,0.0,63,0.4126984126984127,209362.3,3323.2111111111108,0.5238095238095238,79.0,Extreme Greed,True,False,26475.00055500001,Greed,72.0,4416.8473,192187.14,1.0,High,0.5386498191846152
2024-02-28,2503.747235,18.122,45,0.8666666666666667,171107.13,3802.380666666667,0.6888888888888889,82.0,Extreme Greed,True,False,28978.74779000001,Greed,79.0,888.511733,209362.3,1.0,High,1.5693888276002779
2024-02-29,9813.996992,29.654400000000003,116,0.8620689655172413,395666.73,3410.9200862068965,0.5172413793103449,80.0,Extreme Greed,True,False,38792.74478200001,Greed,82.0,2503.747235,171107.13,1.0,High,2.9791819199964076
2024-03-01,8244.241409,27.04384,137,0.9343065693430657,472974.7,3452.370072992701,0.27007299270072993,80.0,Extreme Greed,True,False,47036.98619100001,Greed,80.0,9813.996992,395666.73,1.0,High,2.1682642947344983
2024-03-02,230.90060000000005,1.3124,31,0.6774193548387096,63197.56,2038.6309677419354,0.9032258064516129,80.0,Extreme Greed,True,True,47267.88679100001,Greed,80.0,8244.241409,472974.7,1.0,High,0.058388918818287554
2024-03-03,8361.086245,15.04116,79,0.6835443037974683,390745.68,4946.1478481012655,0.45569620253164556,83.0,Extreme Greed,True,True,55628.97303600001,Greed,80.0,230.90060000000005,63197.56,1.0,High,2.1448697282062987
2024-03-04,27799.775742,30.85353,300,0.8866666666666667,1577996.87,5259.989566666667,0.5366666666666666,82.0,Extreme Greed,True,False,83428.74877800001,Greed,83.0,8361.086245,390745.68,1.0,High,2.940807035801537
2024-03-05,19791.026041,34.3644515,180,0.9055555555555556,841810.32,4676.724,0.3055555555555556,90.0,Extreme Greed,True,False,103219.77481900001,Greed,82.0,27799.775742,1577996.87,1.0,High,2.0419587643581862
2024-03-06,6814.825139,27.00537,82,0.8780487804878049,327218.02,3990.4636585365856,0.5975609756097561,75.0,Extreme Greed,True,False,110034.599958,Greed,90.0,19791.026041,841810.32,1.0,High,0.7416343372214504
